留恋		
		
为何苦恋没有花的枯枝	Sadness	
为何不趁早欣赏她的旖旎	Sadness	
而今花瓣经已化为春泥	Sadness	
你却依然呆在这里!	Sadness	
		
		
何处去？		
		
我听到小溪潺潺，	Beauty / Joy	Vitality
从山泉流了出来，	Beauty / Joy	Vitality
潺潺地流下山谷，	Beauty / Joy	Vitality
多么响亮而轻快。	Beauty / Joy	Vitality
		
我不知怎么回事，	Beauty / Joy	Vitality
谁给我出的主张，	Beauty / Joy	Vitality
我竟要拿起游杖，	Beauty / Joy	Vitality
立即去谷中流浪。	Beauty / Joy	Vitality
		
到谷中不断远行，	Beauty / Joy	Vitality
追随小溪的去向，	Beauty / Joy	Vitality
小溪潺潺地鸣响，	Beauty / Joy	Vitality
越来越轻快响亮。	Beauty / Joy	Vitality
		
这就是我的道路？	Beauty / Joy	
小溪，你流往何处？	Beauty / Joy	
你那潺潺的声音，	Beauty / Joy	
弄得我糊里糊涂。	Beauty / Joy	
		
说什么潺潺之声？	Beauty / Joy	
并非潺潺的水声：	Beauty / Joy	
这是那边的水妖	Beauty / Joy	
跳轮舞唱的歌声。	Beauty / Joy	
		
别管歌声和水声，	Beauty / Joy	Vitality
欣然流浪吧，帮工！	Beauty / Joy	Vitality
每条清澈的小溪	Beauty / Joy	Vitality
都有磨轮在转动。	Beauty / Joy	Vitality
		
		
结尾		
		
事物不爆炸，	Sadness	Awe / Sublime
它们只衰退，凋萎。	Sadness	Awe / Sublime
		
像阳光从肌肤退色，	Sadness	
像水花在沙滩涸竭，	Sadness	
		
就连爱情的闪电	Sadness	
也没有如雷的结尾，	Sadness	
		
她死亡的声音	Sadness	
像凋谢的花像肉体	Sadness	
		
在冒泡的浮石上	Sadness	
一切事物塑造着同一归宿	Sadness	
		
直到我们落入	Sadness	
包围着贝多芬的一片静寂。	Sadness	
		
		
许愿池　印象		
		
电影「罗马假期」的背景和美满结局	Suspense	
给幸福喷泉做了人向往之的活广告？	Suspense	
其实是贝里尼的艺术雕塑	Beauty / Joy	
才使半椭圆形的大水池栩栩如生活在游客心中	Beauty / Joy	
海神奈普顿立在马车上	Beauty / Joy	
左右侧女神「富裕」和「健康」	Beauty / Joy	
以及那座双乳涌出泉水的女神	Beauty / Joy	
一致占据庞大的假山	Beauty / Joy	
泉水由上经两级白石盆	Beauty / Joy	
再涓流四处缯棱不规则的石沿	Beauty / Joy	
倾泻而下	Beauty / Joy	
游客们大都随俗把硬币从右手往左肩掷去	Beauty / Joy	
许愿：身体健康，爱情顺利，重逢罗马，．．．	Beauty / Joy	
		
		
告别诗歌		
		
面对鼻子我感到羞愧	Suspense	
其实我没干什么或者说什么也没干	Suspense	
倒不是没事可干比如说采一朵小花	Beauty / Joy	Suspense
献给身边对我微笑的美丽少女	Beauty / Joy	Suspense
也可以在红灯闪过以后	Beauty / Joy	Suspense
把所有的盲人带过马路	Beauty / Joy	Suspense
至少教笼子里的小鸟学会说话	Beauty / Joy	Suspense
以便在我死后代替我说上几句	Beauty / Joy	Suspense
可是这个季节玫瑰花还没有盛开	Sadness	
绿色也暂时不会覆盖那盏信号灯	Sadness	
盲人们摸索啊摸索留神栏杆	Sadness	
而你呢姑娘祝小鸟长寿吧	Sadness	
		
		
无缘由的幸福日子		
		
乘着正午的红色独木舟	Beauty / Joy	
我抵达无缘由的快乐之岛，	Beauty / Joy	
面包带着山桃的滋味，	Beauty / Joy	
蜂蜜掺和着水的莫名的清凉。	Beauty / Joy	
后来，太阳哟！你这印第安划手，	Beauty / Joy	
你把我从滑向下午的斜坡的河流	Beauty / Joy	
带到黑夜展开着	Beauty / Joy	
它那纤细柳树枝条的岸边。	Beauty / Joy	
你的一支箭穿过我的拳头。	Beauty / Joy	
我把它高高举起，仿佛一只喷火的臂钏，	Beauty / Joy	
在夜晚的森林飞快地经过的时候。	Beauty / Joy	
嘹亮的铜制号角，在我的心里	Vitality	
响起了一声胜利的完整呼号。	Vitality	
我到达了新的黎明的山峰，	Vitality	
怀着一种奇异的感觉，似乎头颅	Vitality	
枕在光明的膝头睡过了一觉。	Vitality	
		
		
三十初度		
		
三十岁，来的快！	Beauty / Joy	Vitality
三岁唱的歌，至今我还爱：	Beauty / Joy	Vitality
“亮摩拜？，	Beauty / Joy	Vitality
拜到来年好世界。	Beauty / Joy	Vitality
世界多！莫奈何！	Beauty / Joy	Vitality
三钱银子买只大雄鹅，	Beauty / Joy	Vitality
飞来飞去过江河。	Beauty / Joy	Vitality
江河过边？姊妹多，	Beauty / Joy	Vitality
勿做生活就唱歌。”	Beauty / Joy	Vitality
我今什么都不说，	Beauty / Joy	Vitality
勿做生活就唱歌。	Beauty / Joy	Vitality
		
		
光明		
		
风雨沉沉的夜里，	Sadness	
前面一片荒郊。	Sadness	
走尽荒郊，	Sadness	
便是人们的道。	Sadness	
呀！黑暗里歧路万千，	Sadness	
叫我怎样走好？	Sadness	
“上帝！快给我些光明罢，	Awe / Sublime	Sadness
让我好向前跑！”	Awe / Sublime	Sadness
上帝慌着说，“光明？	Awe / Sublime	
我没处给你找！	Awe / Sublime	
你要光明，	Awe / Sublime	
你自己去造！”	Awe / Sublime	
		
		
卢森堡		
		
月亮升起、跌落	Beauty / Joy	
在峡谷的上方	Beauty / Joy	
仿佛少女脸上	Beauty / Joy	
晶莹的泪珠	Beauty / Joy	
		
教堂的尖顶	Sadness	
触摸到了天庭	Sadness	
几截颓败的城墙	Sadness	
被游客的目光压迫	Sadness	
		
这座城市层次分明	Beauty / Joy	
满街都是宝马	Beauty / Joy	
骑行在往昔	Beauty / Joy	
法兰克的河床上	Beauty / Joy	
		
在路易・维登专卖店	Sadness	
年轻的门卫又一次	Sadness	
彬彬有礼地把顾客	Sadness	
挡在了寒风中	Sadness	
		
		
春天的歌		
		
三月阳光好	Beauty / Joy	Vitality
恢复体力，头脑清晰，择吉日出游	Beauty / Joy	Vitality
后山林深草盛	Beauty / Joy	Vitality
到处都是春天的样子	Beauty / Joy	Vitality
小动物淘气	Beauty / Joy	
三只松鼠欺负一只兔子	Beauty / Joy	
鸟雀聪敏，爱惜羽毛	Beauty / Joy	
天不蓝不飞	Beauty / Joy	
难得看到老虎，倦了	Beauty / Joy	
树底下，眯眼，打鼾，吹风	Beauty / Joy	
对什么都无所谓	Beauty / Joy	
		
		
感恩的酒鬼		
		
一个酒鬼	Uneasiness	
在呕吐在城市	Uneasiness	
傍晚的霞光中呕吐	Uneasiness	
在护城河的一座桥上	Uneasiness	
大吐不止那模样	Uneasiness	
像是放声歌唱	Uneasiness	
他吐出了他吃下的	Uneasiness	
还吐出了他的胆汁	Uneasiness	
我在下班回家的路上	Vitality	
驻足目击了这一幕	Vitality	
忽然非常感动	Vitality	
我想每个人都有其独特的	Vitality	
对生活的感恩方式	Vitality	
		
		
无题		
		
时间就只是时间本身	Awe / Sublime	
不再可能是别的什么	Awe / Sublime	
宫殿那指向天空的屋顶在塌陷	Uneasiness	
黄昏里鸟群惊飞	Uneasiness	
我们正滑入无底的深渊	Uneasiness	
		
这已经到了正午	Beauty / Joy	
阳光在屋外停了下来	Beauty / Joy	
没有声音没有阴影	Beauty / Joy	
甲虫和黄蜂在飞	Beauty / Joy	
盛开的玫瑰向我展示了	Beauty / Joy	
另一个世界的门	Beauty / Joy	
我坐在屋里	Beauty / Joy	
我坐在门外	Beauty / Joy	
		
		
这是夜		
		
这是夜，一个黑暗的夜，地球	Uneasiness	
失去了颜色	Uneasiness	
风，从云彩里刮出来的风	Uneasiness	
从山边刺向我	Uneasiness	
这是夜，空气象涨起的身子	Uneasiness	
而这个迷路的人看不见道路	Uneasiness	
平摊开发热的身子，空旷的沙漠	Uneasiness	
是窄长的坟墓里的棺柩	Uneasiness	
象我粉碎的心	Uneasiness	Sadness
象我高烧中无力的身子的燃烧	Uneasiness	Sadness
这是夜，是的，夜	Uneasiness	Sadness
		
		
海滨漫步		
		
